F1_score,AP_score
0.7522935779816514,0.8685425449547738
0.6530612244897959,0.7961689552462052
0.7378640776699029,0.8510676220768395
0.6597938144329897,0.8251670519448313
0.6732673267326732,0.8035953171873521
0.8076923076923076,0.8881706988463138
0.7777777777777777,0.8900732676606399
0.7200000000000001,0.8631291484550112
0.6796116504854369,0.8183712627510639
0.7200000000000001,0.8332217071588864
0.75,0.8911306472061674
0.7115384615384616,0.872199015357665
0.7090909090909091,0.8281968849720834
0.68,0.8035735960516444
0.7083333333333333,0.8515963409509867
0.6938775510204082,0.8368566623074297
0.7346938775510204,0.8256808013693453
0.7254901960784312,0.8575152507080904
0.6923076923076923,0.7850369644193516
0.7676767676767676,0.8958756536897677
0.7155963302752293,0.8400278609480631
0.7021276595744681,0.8345901966256772
0.6605504587155964,0.8044312310236509
0.7547169811320755,0.8598859284175215
0.7102803738317757,0.7973909752349192
0.7999999999999999,0.8847715789586617
0.6534653465346535,0.8051866623663662
0.7959183673469388,0.9089570003102727
0.8199999999999998,0.8975102022205972
0.6021505376344086,0.7925471364814319
