F1_score,AP_score,Recall_score
0.7636363636363636,0.8798062998146159,0.711864406779661
0.6597938144329897,0.8267502711232121,0.5423728813559322
0.7572815533980584,0.8434057377169183,0.6610169491525424
0.6734693877551021,0.8341441817494181,0.5689655172413793
0.68,0.8175995321345964,0.5862068965517241
0.8148148148148148,0.9031343868215166,0.7586206896551724
0.7599999999999999,0.9090916530525459,0.6551724137931034
0.7326732673267328,0.8518030767986277,0.6379310344827587
0.7599999999999999,0.8527045748193721,0.6551724137931034
0.7200000000000001,0.838655546597291,0.6206896551724138
0.7857142857142858,0.8995925777662401,0.7457627118644068
0.6999999999999998,0.8858040673878723,0.5932203389830508
0.7037037037037036,0.8384834161058019,0.6440677966101694
0.7058823529411765,0.8250254137815202,0.6206896551724138
0.7378640776699029,0.8550733983651999,0.6551724137931034
0.6875000000000001,0.8431276137503874,0.5689655172413793
0.7599999999999999,0.8354712089511133,0.6551724137931034
0.7254901960784312,0.8753553887127796,0.6379310344827587
0.7,0.8195992394750923,0.603448275862069
0.78,0.9128595015141423,0.6724137931034483
0.7428571428571429,0.848620236265977,0.6610169491525424
0.673913043478261,0.8186407214374427,0.5254237288135594
0.6981132075471698,0.810313449615681,0.6271186440677966
0.8037383177570093,0.8553316339788941,0.7413793103448276
0.7358490566037735,0.8490319488134066,0.6724137931034483
0.8181818181818181,0.8966183512580854,0.7758620689655172
0.6857142857142856,0.8353172514245616,0.6206896551724138
0.7999999999999999,0.9189490054383141,0.6896551724137931
0.7999999999999999,0.9328078464693332,0.6896551724137931
0.6597938144329897,0.8218347118963887,0.5517241379310345
