0,Active,gnina_CNN_mean,gnina_CNN_median,gnina_CNN_best,gnina_CNN_worst
screen_101,0.0,-0.43,-0.41,-0.91,-0.03
screen_103,0.0,-0.26,-0.21,-0.84,-0.05
screen_104,0.0,-0.18,-0.15,-0.78,-0.02
screen_11,0.0,-0.31,-0.23,-0.79,-0.05
screen_110,0.0,-0.17,-0.14,-0.86,-0.01
screen_116,0.0,-0.45,-0.42,-0.83,-0.15
screen_22,0.0,-0.47,-0.48,-0.89,-0.05
screen_37,0.0,-0.17,-0.15,-0.82,-0.05
screen_42,0.0,-0.19,-0.16,-0.76,-0.03
screen_51,0.0,-0.23,-0.13,-0.84,-0.03
screen_56,0.0,-0.43,-0.43,-0.86,-0.09
screen_57,0.0,-0.21,-0.12,-0.81,-0.03
screen_60,0.0,-0.18,-0.15,-0.88,-0.07
screen_65,0.0,-0.18,-0.12,-0.79,-0.03
screen_69,0.0,-0.16,-0.07,-0.85,-0.01
screen_74,0.0,-0.22,-0.17,-0.75,-0.03
screen_75,0.0,-0.38,-0.14,-0.94,-0.02
screen_76,0.0,-0.34,-0.31,-0.81,-0.04
screen_89,0.0,-0.27,-0.19,-0.76,-0.05
screen_90,0.0,-0.27,-0.19,-0.76,-0.05
screen_94,0.0,-0.48,-0.48,-0.88,-0.09
screen_95,0.0,-0.16,-0.11,-0.83,-0.01
